step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
9150,train,2.024946666,0.0009894470345,0.1559230536,224870400,1423.732097,6.426770893,157944.3215,,,,,,,
9200,train,2.007180078,0.0009893207206,0.171065554,226099200,1431.523124,6.426721195,157943.1001,,,,,,,
9250,train,2.006446433,0.0009891936635,0.1706100851,227328000,1438.974384,6.428189481,157979.1847,,,,,,,
9300,train,2.025937116,0.0009890658635,0.1622584462,228556800,1446.165208,6.43080054,158043.3541,,,,,,,
9350,train,2.018364592,0.0009889373207,0.1542067379,229785600,1453.960816,6.430709755,158041.1229,,,,,,,
9400,train,2.042744122,0.0009888080354,0.1447885334,231014400,1461.654238,6.431069505,158049.9642,,,,,,,
9450,train,2.036436491,0.0009886780078,0.1722441465,232243200,1469.118845,6.432427185,158083.3305,,,,,,,
9500,train,2.038362038,0.000988547238,0.3166479766,233472000,1476.703371,6.433248672,158103.5194,,,,,,,
9550,train,2.01097131,0.0009884157262,0.1373930573,234700800,1484.339271,6.433839074,158118.0291,,,,,,,
9600,train,2.040807498,0.0009882834728,0.1438658684,235929600,1491.751461,6.435388369,158156.1046,,,,,,,
9650,train,2.019365168,0.0009881504778,0.1569462419,237158400,1498.979509,6.437713085,158213.2368,,,,,,,
9700,train,2.012178659,0.0009880167414,0.1491905004,238387200,1506.173923,6.4401593,158273.355,,,,,,,
9750,train,2.018871996,0.000987882264,0.1313870251,239616000,1513.336125,6.442719392,158336.2718,,,,,,,
9800,train,2.020884581,0.0009877470456,0.1576282829,240844800,1520.616074,6.444756286,158386.3305,,,,,,,
9850,train,2.025679376,0.0009876110866,0.1473843902,242073600,1528.062863,6.446069881,158418.6134,,,,,,,
9900,train,2.037892222,0.000987474387,0.1748487055,243302400,1535.476288,6.447510834,158454.0263,,,,,,,
9950,train,2.030362525,0.0009873369472,0.1592834741,244531200,1542.996145,6.448493104,158478.1665,,,,,,,
10000,train,2.008191261,0.0009871987673,0.1885032058,245760000,1550.940675,6.447699876,158458.6722,,,,,,,
7550,train,2.046455872,0.0009930955838,0.1662487984,1228800,11.00343013,4.544037579,111674.2675,,,,,,,
7600,train,2.064320672,0.0009929931475,0.1689926535,2457600,21.48156667,4.655153954,114405.0636,,,,,,,
7650,train,2.059573894,0.0009928899623,0.167202875,3686400,31.49855256,4.762123584,117033.9492,,,,,,,
7700,train,2.062422223,0.0009927860285,0.1531033963,4915200,41.81540489,4.782926305,117545.1969,,,,,,,
7750,train,2.069566505,0.0009926813461,0.1916255802,6144000,52.15244031,4.79363954,117808.4853,,,,,,,
7800,train,2.085146313,0.0009925759154,0.1347863227,7372800,62.62162519,4.790677328,117735.686,,,,,,,
